eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor,AU-ID,Full Name,First Name,Last Name,Tenure,Position,Department,ORCID,EID,Journal,ISSN,Rank,Category,Secondary Category,academic_year
2-s2.0-85026243823,10.5465/AMBPP.2012.170,,,Unveiling the interrelatedness of emotion sharing and identification with the organization,cp,Conference Paper,Sguera F.,60138449;60093261;60027017;60004888,"Mays Business School;Leeds School of Business;Stephen M. Ross School of Business;INSEAD, Europe",College Station;Boulder;Ann Arbor;Fontainebleau,United States;United States;United States;France,5,"Sguera, Francesco;Bagozzi, Richard P.;Boss, Wayne R.;Boss, David S.;Huy, Quy Nguyen",55102817400;7005378295;55102701000;57190971115;7801600471,60027017;60027017;60093261;60138449;60004888,2012-01-01,2012,"Academy of Management 2012 Annual Meeting, AOM 2012",,21100824901,,Conference Proceeding,,,,793-798,,,0,0,,,,undefined,,57190971115,David Boss,David,Boss,Tenure,Associate Professor,Management Faculty,,57190971115,,,,,,2011-2012
2-s2.0-84953066712,10.1080/10413209008406429,,,Ethical considerations in dual relationships: The sport psychologist-coach,ar,Article,Ellickson K.A.,60011132;60003500,Ohio University;The Ohio State University,Athens;Columbus,United States;United States,2,"Ellickson, Kathleen A.;Brown, David R.",7801498291;55738786100,60003500;60011132,1990-01-01,September 1990,Journal of Applied Sport Psychology,10413200,19870,15331571,Journal,2,2,,186-190,"The purpose of this article is to sensitize service providers to the ethical dilemna resulting when a sport psychologist also serves as the team’s coach. The blending of these two roles raises serious questions concerning the sport psychologist’s professional judgement and places both the athlete and psychologist in a potentially exploitative position. Underlying the Ethical Principles of Psychologists is the demand that psychologists protect the welfare of those with whom they work. Issues such as responsibility, scientific evidence, confidentiality, public statements, and interpersonal boundary concerns all require that psychologists maintain a clear sense of their ethical obligations within their professional relationships. The sport psychologist is admonished to carefully consider the consequences when blending the psychologist role with any other. © 1990 Taylor & Francis Group, LLC.",,3,0,,,,undefined,,55738786100,David Brown,David,Brown,Instructional,Associate Professor,Management Faculty,,55738786100,Journal of Applied Sport Psychology,1041-3200,Top,,,1989-1990
2-s2.0-0011532002,10.1080/10413209008406429,,,Ethical considerations in dual relationships: The sport psychologist-coach,ar,Article,Ellickson K.A.,60011132;60003500,Ohio University;The Ohio State University,Athens;Columbus,United States;United States,2,"Ellickson, Kathleen A.;Brown, David R.",7801498291;55738786100,60003500;60011132,1990-01-01,September 1990,Arid Soil Research and Rehabilitation,08903069,33076,,Journal,2,2,,186-190,"The purpose of this article is to sensitize service providers to the ethical dilemna resulting when a sport psychologist also serves as the team’s coach. The blending of these two roles raises serious questions concerning the sport psychologist’s professional judgement and places both the athlete and psychologist in a potentially exploitative position. Underlying the Ethical Principles of Psychologists is the demand that psychologists protect the welfare of those with whom they work. Issues such as responsibility, scientific evidence, confidentiality, public statements, and interpersonal boundary concerns all require that psychologists maintain a clear sense of their ethical obligations within their professional relationships. The sport psychologist is admonished to carefully consider the consequences when blending the psychologist role with any other. © 1990 Taylor & Francis Group, LLC.",,13,0,,,,undefined,,55738786100,David Brown,David,Brown,Instructional,Associate Professor,Management Faculty,,55738786100,,,,,,1989-1990
2-s2.0-85172074944,10.1515/zfw-2022-0002,,,The geographical dispersion of inventor networks in peripheral economies,ar,Article,Cano-Kollmann M.,60122660;60011132;60007249,Fox School of Business;Ohio University;Universidade do Porto,Philadelphia;Athens;Porto,United States;United States;Portugal,3,"Cano-Kollmann, Marcelo;Mudambi, Ram;Tavares-Lehmann, Ana Teresa",56678635700;7004017780;55909879800,60011132;60122660;60007249,2022-05-01,1 May 2022,ZFW - Advances in Economic Geography,27481956,21101178123,27481964,Journal,66,1,,49-63,"In this paper we explore patenting activity in two peripheral economies (Portugal and Greece), to analyze the dispersion of inventor networks. Inventor networks are key conduits through which knowledge flows. Therefore, they can be critical in the catch-up process of peripheral economies - economies that belong to the group of rich countries but have weaker innovation systems. As global value chains fragment into geographically dispersed activities, opportunities arise for peripheral economies to participate in global innovation processes. However, different types of innovation activities have distinct network properties. More codifiable innovative activities can be carried out through collaboration by internationally dispersed teams. On the other hand, activities that are more dependent on tacit knowledge are likely to require the co-location of knowledge workers. This implies that innovation that relies mostly on tacit knowledge will provide limited connectivity benefits for peripheral economies' innovation systems. We hypothesize that, while this is generally true, ""leading""innovative multinational enterprises may possess more sophisticated capabilities for transnational collaboration than less innovative firms. Therefore, innovation in activities involving tacit knowledge may show different network characteristics depending on who performs them: leading firms or ""laggards"". Our results, based on data from Portugal and Greece are consistent with our hypotheses.",connectivity | Innovation | patents | Peripheral economies,0,1,repositoryvor,Green,FCT,UIDB/04105/2020,Fundação para a Ciência e a Tecnologia,56678635700,Marcelo Cano-Kollmann,Marcelo,Cano-Kollmann,Tenure,Associate Professor,Management Faculty,,56678635700,,,,,,2021-2022
2-s2.0-85121448189,10.1080/13662716.2021.2007756,,,Generating tacit knowledge across borders: international collaboration and design innovation in Norway,ar,Article,Qiu X.,60135978;60122660;60013141,Ohio University College of Business;Fox School of Business;Norges Teknisk-Naturvitenskapelige Universitet,Athens;Philadelphia;Trondheim,United States;United States;Norway,3,"Qiu, Xinlu;Cano-Kollmann, Marcelo;Mudambi, Ram",57202066640;56678635700;7004017780,60013141;60135978;60122660,2022-01-01,2022,Industry and Innovation,13662716,23013,14698390,Journal,29,5,,597-622,"We analyse the international dispersion of inventor networks engaged in design innovation, by studying a dataset of design patents linked to Norway. Specifically, we examine the extent to which the international dispersion of design innovation is sustained by firms´ organisation-based pipelines, innovation capabilities and star designers’ personal linkages. We find that, in traditional design sectors, greater orchestration and innovative capabilities help firms source knowledge globally, while star designers tend to work independently or collaborate locally. Design innovation activities in high-tech sectors show higher international connectedness, largely driven by star designers’ personal connections. Surprisingly, firms with lower innovative capability tend to be connected to inventor networks that are more internationally dispersed. While increasing attention is being given to the value added by design, little is known about international design innovation networks. Our paper opens potential avenues for research on the distribution and orchestration of design innovation across borders.",connectedness | design | innovation | knowledge sourcing | Norway | O31 Innovation and Invention: Processes and Incentives | O32 Management of Technological Innovation and R&amp;D | O33 Technological Change: Choices and Consequences • Diffusion Processes | O34 Intellectual Property and Intellectual Capital | O36 Open Innovation | patents,0,0,,,,undefined,,56678635700,Marcelo Cano-Kollmann,Marcelo,Cano-Kollmann,Tenure,Associate Professor,Management Faculty,,56678635700,Industry and Innovation,1366-2716,High Quality,,,2021-2022
2-s2.0-85100181191,10.1007/s11846-020-00435-8,,,Innovation and entrepreneurial ecosystems: fintech in the financial services industry,ar,Article,Berman A.,60122660;60025447;60011132,Fox School of Business;St. John's University;Ohio University,Philadelphia;Queens;Athens,United States;United States;United States,3,"Berman, Alexander;Cano-Kollmann, Marcelo;Mudambi, Ram",57211574280;56678635700;7004017780,60025447;60011132;60122660,2022-01-01,January 2022,Review of Managerial Science,18636683,17400154830,18636691,Journal,16,1,,45-64,"Technological change that arises outside an industry and is used within it affects entrepreneurship and entrepreneurial ecosystems, but remains understudied. In this project we assess the role of financial technology (fintech) innovation in the process of firm entry into the investment advisory sector, bearing in mind that the core of this innovation arises from technological development that is external to the industry. Our analysis of a sector of the U.S.-based financial services industry indicates that fintech innovation has contributed to a substantial increase in the rate of entrepreneurial entry into the industry. More importantly, we show that this innovation has an asymmetric effect on the firms in the industry, strengthening startups and smaller firms while increasing competitive pressure on larger incumbents. Our findings contribute to the literature by exemplifying that external technology shocks can change market structure by strengthening entrepreneurial ecosystems.",Entrepreneurial ecosystems | Fintech | Information technology (IT) | Innovation | Technological change,28,0,,,,undefined,,56678635700,Marcelo Cano-Kollmann,Marcelo,Cano-Kollmann,Tenure,Associate Professor,Management Faculty,,56678635700,,,,,,2021-2022
2-s2.0-85088968834,10.1111/fima.12311,,,The effect of privatization on the characteristics of innovation,ar,Article,Somé H.Y.,60190928;60135978;60122660;60002970,École de Gestion;Ohio University College of Business;Fox School of Business;HEC Montréal,Sherbrooke;Athens;Philadelphia;Montreal,Canada;United States;United States;Canada,4,"Somé, Hyacinthe Y.;Cano-Kollmann, Marcelo;Mudambi, Ram;Cosset, Jean Claude",55906536100;56678635700;7004017780;7101779108,60190928;60135978;60122660;60002970,2021-09-01,Autumn (Fall) 2021,Financial Management,00463892,74502,1755053X,Journal,50,3,,875-898,"We investigate the role of privatization on the dynamics of innovation. We hypothesize that privatized firms will focus on a narrower set of technologies as a response to increased pressure for profitability and short-term results, and that privatization will also increase the degree to which they engage in collaborations with external inventors, both locally and abroad. Using a sample of privatized firms in 25 countries, we find strong evidence supporting these hypotheses. Importantly, we find that overall patenting activities and, in particular, overseas collaboration in technological innovation are associated with greater firm performance, but only after privatization.",dispersion | diversification | privatization | technological innovation,3,0,,,OU,undefined,Ohio University,56678635700,Marcelo Cano-Kollmann,Marcelo,Cano-Kollmann,Tenure,Associate Professor,Management Faculty,,56678635700,Financial Management,0046-3892,Top,,,2021-2022
2-s2.0-85082195852,10.1108/CR-08-2019-0072,,,International connectivity in the generation of information and communication technology (ICT) in Spain,ar,Article,Medina L.,60135978;60027282,Ohio University College of Business;Universidad Complutense de Madrid,Athens;Madrid,United States;Spain,3,"Medina, Lisset;Cano-Kollmann, Marcelo;Alvarez, Isabel",57215873431;56678635700;56716610800,60027282;60135978;60027282,2020-05-13,13 May 2020,Competitiveness Review,10595422,5700185098,20513143,Journal,,,,355-371,"Purpose: The purpose of this paper is to analyze the characteristics of knowledge creation in a key technology field, i.e. information and communication technology (ICT), to determine whether it is driven by domestic firms and inventors, or whether the traction is provided by international connections to global innovation networks. The authors argue that the geographical pattern of international connectivity is characterized by local concentration and strong connections to foreign multinational enterprises, for which a large number of inventors in Spain work. Design/methodology/approach: The analysis was done using data from the United States Patent and Trademark Office database, covering almost 40 years, ranging from 1976 to 2014. The authors used patents in the ICT sector connected to either inventors or organizations located in Spain. The authors analyzed collaboration by the location of both inventors and assignees, and the connections established across borders. Second, the authors assessed the level of concentration and dispersion that characterizes these relationships. Findings: First, the growth of the ICT sector in Spain is strongly driven by linkages with foreign companies, in particular those located in the USA. Second, the interaction of local and international clusters of knowledge generation is a key driver of the ICT sector, which is far from being global. Third, there is a geographic concentration of national/international knowledge sources, which is mediated by the technological strategies of internationalized firms. Therefore, the new information age seems to be highly dependent on the collaboration between individuals and companies through focal local points, and on the prevalence of co-developed international inventions. Research limitations/implications: Understanding the patterns of ICT-related knowledge creation and its geographical footprint is crucial to foster competitiveness in the digital age. The transition from a paradigm based on tangible assets to one where competitive advantage stems mainly from intangibles, has significant implications for both policy and practice. International collaboration presents opportunities to enhance competitiveness at various levels, be that organizations, regions or countries. To seize these opportunities, it is key to enhance the endogenous capabilities and absorptive capacity of the local players. While patent data captures the output of a national innovation system only partially, it is still a suitable indicator to capture international connectedness. More qualitative-oriented techniques, however, may allow for a better assessment of tacit knowledge flows. Originality/value: The creation of knowledge in high-tech industries is a key aspect of competitiveness, and it is increasingly supported by collaboration that spans across borders. However, knowledge creation adopts different patterns, depending on the unique characteristics of the country. The authors analyze the case of Spain, a developed economy with pockets of innovation but also significant areas that can be considered “peripheral,” both economically and industrially, when compared to much of Western Europe. This study’s analysis captures the combination of concentration and dispersion in the process of knowledge generation that characterizes the ICT sector in intermediate countries.",ICT | International connectivity | Knowledge sources | Patents,2,0,,,,undefined,,56678635700,Marcelo Cano-Kollmann,Marcelo,Cano-Kollmann,Tenure,Associate Professor,Management Faculty,,56678635700,,,,,,2019-2020
2-s2.0-85030167638,10.1016/j.intman.2017.09.008,S1075425317303459,,Global Innovation Networks – Organizations and People,ar,Article,Cano-Kollmann M.,60122660;60121519;60011132,Fox School of Business;Dropbox Inc.;Ohio University,Philadelphia;San Francisco;Athens,United States;United States;United States,3,"Cano-Kollmann, Marcelo;Hannigan, T. J.;Mudambi, Ram",56678635700;55942882600;7004017780,60011132;60121519;60122660,2018-06-01,June 2018,Journal of International Management,10754253,20633,,Journal,24,2,,87-92,"Innovation is increasingly the outcome of global networks that connect geographically dispersed knowledge centers. The international business (IB) literature has developed a sophisticated understanding of the multinational enterprise (MNE) as an organization generates value by integrating knowledge across national borders. We advance this literature by making three key arguments. First we highlight the three megatrends that shape the strategy of the modern MNE: the disaggregation of the value chain into ever narrower activities, the migration of value to knowledge-intensive intangibles and the rise of huge emerging markets like China and India, whose domestic firms can grow to enormous size before venturing abroad. Second, we trace these three megatrends to falling spatial transaction costs, enabled in the main, by digitalization. Third, we draw on earlier research on the generic forms of global linkages, arguing that the IB literature has limited itself to organizational pipelines, while paying relatively little attention to personal relationships. The latter are particularly important in the genesis of both entrepreneurship and radical innovation, but are particularly sensitive to the anti-globalization policies. An environment where technology continues to reduce spatial transaction costs, while policy raises them, strengthens large MNEs at the expense of innovative international new ventures.",Emerging markets | Global linkages | Innovation networks | Intangibles,55,0,,,,undefined,,56678635700,Marcelo Cano-Kollmann,Marcelo,Cano-Kollmann,Tenure,Associate Professor,Management Faculty,,56678635700,Journal of International Management,1075-4253,Top,,,2017-2018
2-s2.0-85041021135,10.1177/0008125617742146,,,Burying the hatchet for catch-up: Open innovation among industry laggards in the automotive industry,ar,Article,Cano-Kollmann M.,60122660;60121519;60104532;60011132,Fox School of Business;Dropbox Inc.;Indian School of Business;Ohio University,Philadelphia;San Francisco;Hyderabad;Athens,United States;United States;India;United States,4,"Cano-Kollmann, Marcelo;Awate, Snehal;Hannigan, T. J.;Mudambi, Ram",56678635700;56471533300;55942882600;7004017780,60011132;60104532;60121519;60122660,2018-02-01,1 February 2018,California Management Review,00081256,21341,21628564,Journal,60,2,,17-42,"What happens when firms in an oligopolistic industry find themselves lagging behind in a potentially dominant technology? If R&D costs are significant and catch-up is key, technology laggards must turn to each other and open up their innovation processes in order to survive. This article uses a real options framework to explain the motives of bitter rivals to engage in collaborative relationships in order to catch up with industry leaders in specific technologies. It shows that ex ante, their interests converge and this lays the foundation of “catch-up alliances”: competitors open up to catch up. However, they often bring vastly different resources to the alliance and, in the process of cooperation, what they learn may cause their interests to diverge. Furthermore, some participants may discount a technology trajectory on the basis of what they learn, and terminate efforts in that area. Therefore, the “road not taken” may be a valuable outcome of the open innovation alliance. This article uses the case of a global alliance in hybrid electric drivetrain automotive technology as the study context, and it analyzes the implications for managers facing similar decisions.",Automobile industry | Case study | Competitive strategy | Innovation | Innovation management | Open innovation | R&amp;D,21,0,,,,undefined,,56678635700,Marcelo Cano-Kollmann,Marcelo,Cano-Kollmann,Tenure,Associate Professor,Management Faculty,,56678635700,California Management Review,0008-1256,Top,,,2017-2018
2-s2.0-85024843600,10.1093/icc/dtw025,,,Public support for innovation and the openness of firms' innovation activities,ar,Article,Cano-Kollmann M.,60135978;60122660,Ohio University College of Business;Fox School of Business,Athens;Philadelphia,United States;United States,3,"Cano-Kollmann, Marcelo;Hamilton, Robert D.;Mudambi, Ram",56678635700;7402616032;7004017780,60135978;60122660;60122660,2017-06-01,1 June 2017,Industrial and Corporate Change,09606491,28945,14643650,Journal,26,3,,421-442,"This study explores empirically the relationship between publicly funded schemes to support innovation and the ""openness"" of firms' innovation practices. Using survey data from more than 5000 firms in 29 European countries, we find that support policies for innovation, both monetary and nonmonetary, are related to an increase in the degree of openness of individual firms, both in terms of the number of external partners with whom they collaborate and the number of open innovation activities they perform. However, the relationship between support and openness seems to be negatively moderated by the existence of previous innovative activity within the firm. Public support has more impact on less innovative firms and less influence when the firm is already innovative, which could potentially indicate the existence of crowding-out effects. Additionally, our results suggest that nonfinancial support is more strongly linked to openness than financial support. For policy makers facing salient budgetary constraints, this implies that institutions and government policies could potentially play a more important role than money in fostering open innovation. This article contributes to the open innovation literature by tapping into the underexplored question of the role of public policies and has crucial implications for academics and policy makers.",,58,0,,,,undefined,,56678635700,Marcelo Cano-Kollmann,Marcelo,Cano-Kollmann,Tenure,Associate Professor,Management Faculty,,56678635700,Industrial and Corporate Change,0960-6491,Top,,,2016-2017
2-s2.0-85031804774,10.1108/CR-03-2017-0025,,,Competitiveness and connectivity in design innovation: a study of Norwegian furniture industry,ar,Article,Qiu X.,60122660;60011132,Fox School of Business;Ohio University,Philadelphia;Athens,United States;United States,3,"Qiu, Xinlu;Cano-Kollmann, Marcelo;Mudambi, Ram",57202066640;56678635700;7004017780,;60011132;60122660,2017-01-01,2017,Competitiveness Review,10595422,5700185098,20513143,Journal,27,5,,533-548,"Purpose: The purpose of this paper is to explore how firms achieve competitiveness by implementing design-driven innovation. Design/methodology/approach: This paper is a detailed longitudinal analysis of the design innovation underpinning the Norwegian furniture industry. Using a data set spanning 40 years (1976-2015) of design patents by both Norwegian firms and inventors, the authors map the coinventor connectivity of the design-innovation clusters of Norway, both within the country and with foreign locations. Findings: Using network analysis, the authors find that most of the rise of co-inventor connectivity within Norwegian furniture industry’s design innovation is occurring within the country. More surprisingly, the leading firms and star inventors are less likely to collaborate internationally, i.e. they are characterized by greater innovative “lock-in”. Research limitations/implications: The exploration of all the potential reasons for the “lock-in” in design innovation of the Norwegian furniture industry is beyond the scope of this paper. A particularly interesting avenue for future research would be to compare the coinventor connectivity of traditional sectors like furniture with more high technology sectors within Norway. Originality/value: By assessing a detailed and historical context of the evolution of Norwegian furniture industry, the paper provides a fairly comprehensive study of design innovation as a source of firms’ competitiveness, which has been rarely explored. The authors suggest that innovative “lock-in” may be more likely to arise in the traditional sectors of an economy and the forces may be particularly strong for those firms and individuals that have the highest domestic connectedness and status.",Co-inventor networks | Design innovation | Furniture industry | Innovation connectivity | Norway,8,0,,,,undefined,,56678635700,Marcelo Cano-Kollmann,Marcelo,Cano-Kollmann,Tenure,Associate Professor,Management Faculty,,56678635700,,,,,,2016-2017
2-s2.0-84960895343,10.1057/jibs.2016.8,,,Knowledge connectivity: An agenda for innovation research in international business,re,Review,Cano-Kollmann M.,60122660;60013682;60011132;60000473,Fox School of Business;Seoul National University;Ohio University;Rutgers University-Newark,Philadelphia;Seoul;Athens;Newark,United States;South Korea;United States;United States,5,"Cano-Kollmann, Marcelo;Cantwell, John;Hannigan, Thomas J.;Mudambi, Ram;Song, Jaeyong",56678635700;55916533900;55942882600;7004017780;56121662400,60011132;60000473;60122660;60122660;60013682,2016-04-01,1 April 2016,Journal of International Business Studies,00472506,24392,14786990,Journal,47,3,,255-262,"The innovation-driven multinational enterprise (MNE) has dominated international business (IB) research for several decades now. Beginning with the award-winning research of Dunning, there have been calls for IB researchers to rediscover the importance of locations. Recent work has emphasized that firms and locations co-evolve with one another, as knowledge is transferred and leveraged across space. Integrating insights from IB and economic geography, we propose a research agenda for IB scholarship on spatially dispersed yet connected innovation processes. This agenda is premised on the current reality of global value chains in which mobile (MNEs, people) and immobile (locations) factors interact. The research perspective suggested recognizes that locations are host to increasingly ""fine-sliced"" activities, whose nature and composition are continuously changed by MNE-driven innovation processes. As today's specialized activities become tomorrow's standardized ones, the shifting distribution of global value creation depends on the pattern of international knowledge connectivity.",connectivity | economic geography | global value chains | innovation | specialized activities | tacit knowledge,239,1,repositoryvor,Green,,undefined,,56678635700,Marcelo Cano-Kollmann,Marcelo,Cano-Kollmann,Tenure,Associate Professor,Management Faculty,,56678635700,Journal of International Business Studies,0047-2506,Elite,,,2015-2016
2-s2.0-84999837785,10.1108/MBR-06-2016-0020,,,An analysis of Japan’s connectivity to the global innovation system,ar,Article,Lee A.,60122660;60011132,Fox School of Business;Ohio University,Philadelphia;Athens,United States;United States,3,"Lee, Ahreum;Mudambi, Ram;Cano-Kollmann, Marcelo",57160611400;7004017780;56678635700,60122660;60122660;60011132,2016-01-01,2016,Multinational Business Review,1525383X,5700169068,20541686,Journal,24,4,,399-423,"Purpose: In the modern knowledge-intensive economy, a nation’s competitiveness depends on the ability of its constituent firms to innovate. Extant research in national systems of innovation highlights institutions and public policies toward innovation as key determinants that affect firms’ innovation activities. This paper aims to widen the investigation by arguing that co-inventor connectivity allows firms to access the most tacit knowledge within global innovation systems. Therefore, it is one of the key factors that underpin a nation’s ability to develop and sustain its competitiveness. Design/methodology/approach: Using a data set of 406,168 patents from US Patent and Trademark Office during the period of 1975-2004, this study analyzed the Japanese system of innovation through co-inventor networks. Findings: Surprisingly, the authors found that compared to other advanced countries such as Germany and Denmark, the Japanese innovation system is quite closed. Originality/value: The dimension of tacit knowledge is crucial in the current environment of rapid cycle time, short product lifespans and increasing emphasis on exploratory innovation. Hence the authors speculate that closedness to global innovation systems could be one of the reasons why many of Japan’s traditionally powerful multinational enterprises exhibit weak performance in recent years.",Co-inventor connectivity | National systems of innovation | Patent data,17,0,,,,undefined,,56678635700,Marcelo Cano-Kollmann,Marcelo,Cano-Kollmann,Tenure,Associate Professor,Management Faculty,,56678635700,,,,,,2015-2016
2-s2.0-84930855478,10.1093/icc/dtv014,,,Thriving innovation amidst manufacturing decline: The Detroit auto cluster and the resilience of local knowledge production,ar,Article,Hannigan T.J.,60135978;60122660,Ohio University College of Business;Fox School of Business,Athens;Philadelphia,United States;United States,3,"Hannigan, Thomas J.;Cano-Kollmann, Marcelo;Mudambi, Ram",55942882600;56678635700;7004017780,60122660;60122660-60135978;60122660,2015-06-01,1 June 2015,Industrial and Corporate Change,09606491,28945,14643650,Journal,24,3,,613-634,"Analyzing the comprehensive 35-year patent data set associated with the Detroit auto cluster we confirm that innovation in clusters can increase in spite of a long-term decline in manufacturing activity. The ""stickiness"" of local knowledge is sustained by: (i) increasing technological specialization at the local level and (ii) growing connectedness to global centers of excellence. The very forces that bring about the decline in manufacturing in a cluster sustain their position as a global center of innovative excellence.",,91,0,,,,undefined,,56678635700,Marcelo Cano-Kollmann,Marcelo,Cano-Kollmann,Tenure,Associate Professor,Management Faculty,,56678635700,Industrial and Corporate Change,0960-6491,Top,,,2014-2015
2-s2.0-85147043465,10.1002/tie.22333,,,W(h)ither U.S. hegemony in international business research?,ar,Article,Livanis G.,60135978,Ohio University College of Business,Athens,United States,2,"Livanis, Grigorios;Geringer, J. Michael",15020870900;6603446009,60135978;60135978,2023-03-01,March/April 2023,Thunderbird International Business Review,10964762,145676,15206874,Journal,65,2,,195-215,"Background: Researchers have suggested a transition from historical hegemony by authors and institutions from the U.S. is underway, reflecting an internationalization of IB research. These studies indicate that European and Asia-Pacific business schools and their faculty members are helping to lead this transition. Aims: This study examines whether U.S. dominance of IB research has truly reached its end, or whether the extent of this transition to non-U.S. authors and institutions has been overstated. To the extent that U.S. hegemony has declined, this study examines what strategies may have assisted non-U.S. nations and their business schools to emerge as leaders in producing IB research. Materials & Methods: This study employs an in-depth, time-series analysis of the evolution of IB research over a 45-year period, 1976–2020, to examine trends in institutional and national productivity globally. Results: Despite declines in overall dominance of U.S. authors and institutions, the extent varies by type of journal and U.S. impact remains profound through Ph.D. training and collaboration. In addition, novel findings include the emergence of three distinct business models that non-U.S. institutions have followed to enhance their global rankings in publication of IB research. Discussion: We discuss the 3-part typology of strategies by which non-U.S. institutions have enhanced their productivity and international rankings. Conclusions: Key conclusions from the study, including contributions and their implications, are presented along with considerations for further research.",Business models | global research rankings | institutional productivity | international business research,2,1,publisherhybridgold,Hybrid Gold,,undefined,,6603446009,J. Michael (Mike) Geringer,J.,Geringer,Tenure,Professor,Management Faculty,,6603446009,Thunderbird International Business Review,1096-4762,High Quality,,,2022-2023
2-s2.0-85146350087,10.1002/tie.22330,,,U.S. hegemony and international business research: Further considerations,no,Note,Geringer J.M.,60135978,Ohio University College of Business,Athens,United States,2,"Geringer, J. Michael;Livanis, Grigorios",6603446009;15020870900,60135978;60135978,2023-03-01,March/April 2023,Thunderbird International Business Review,10964762,145676,15206874,Journal,65,2,,229-235,"The commentaries in this issue raise many insightful questions and considerations regarding the Livanis and Geringer (Thunderbird International Business Review, 2023, 64) study and we address a few of these. In particular, we focus on the following five areas: (i) the relationship of international business (IB) publications with the English language, (ii) resource constraints and IB research, (iii) institutional rewards and IB research, (iv) methodological considerations in evaluating IB research productivity, and (v) opportunity costs of pursuing a Ph.D. and IB research and publication.",academic competitiveness of nations | business school rankings | institutional productivity | international business research,0,1,publisherhybridgold,Hybrid Gold,,undefined,,6603446009,J. Michael (Mike) Geringer,J.,Geringer,Tenure,Professor,Management Faculty,,6603446009,Thunderbird International Business Review,1096-4762,High Quality,,,2022-2023
2-s2.0-85096170264,10.1016/j.intman.2020.100807,S1075425320305792,,"Culture, connectedness, and international adoption of disruptive innovation",ar,Article,Uzuegbunam I.,60011132,Ohio University,Athens,United States,2,"Uzuegbunam, Ikenna;Geringer, J. Michael",14625575400;6603446009,60011132;60011132,2021-03-01,March 2021,Journal of International Management,10754253,20633,,Journal,27,1,100807,,"Why might nations vary in whether and how fast to adopt potentially disruptive innovations? Our study investigates this issue, specifically how a nation's adoption of creatively destroying innovations is related to two previously unexplored variables: cultural looseness, which is a norm-based measure of informal institutions, and global connectedness. To highlight potential contributions from these new variables, we control for within-nation contextual variables examined in prior research, including formal institutions, Hofstede's dimensions of cultural values, socioeconomic attributes, and between-nation economic grouping. Our empirical analysis of a specific disruptive innovation, agricultural biotechnology adoption, covers 47 nations over a 14-year period and provides broad support for the usefulness of cultural looseness and global connectedness for understanding innovation adoption. Cultural looseness is significantly related to adoption of agricultural biotech. Global connectedness dimensions of depth and breadth are not directly related to adoption, only interactively with cultural looseness. These findings highlight the role of informal institutions and global connectedness in shaping complex interactions between disruptive innovation and industrial evolution within and across nations. The findings also have implications for what public policy makers might do to influence the extent of adoption of such innovations.",Agricultural biotechnology | Creative destruction | Cultural looseness | Global connectedness | Informal institutions | Innovation,7,0,,,,undefined,,6603446009,J. Michael (Mike) Geringer,J.,Geringer,Tenure,Professor,Management Faculty,,6603446009,Journal of International Management,1075-4253,Top,,,2020-2021
2-s2.0-85099303599,10.1007/s11575-020-00435-6,,,International Collaboration and European Contributions to International Business Research,ar,Article,Aïssaoui R.,60011132,Ohio University,Athens,United States,3,"Aïssaoui, Rachida;Geringer, J. Michael;Livanis, Grigorios",55626819400;6603446009;15020870900,60011132;60011132;60011132,2020-12-01,December 2020,Management International Review,09388249,11000153782,18618901,Journal,60,6,,827-868,"This study measures and ranks the performance of nations and academic institutions based on a 45-year analysis of international business (IB) publications, including 5853 academic authors from 1542 affiliated institutions. Examining authors’ academic origin and university of affiliation, and with a focus on the European nations that participated in the production of IB research, we make several novel contributions to the field: (1) identifying a unique internationalization process of IB research that consists of three distinct stages driven by international collaboration, (2) highlighting the role of international collaborations in overcoming publication barriers at the regional and country level, and (3) highlighting the role of both scale and scope of international collaborations in achieving a top-ranked position in the production of IB research.",International business | International collaboration | Internationalization | Research | Resource dependency,4,1,repositoryvor,Green,,undefined,,6603446009,J. Michael (Mike) Geringer,J.,Geringer,Tenure,Professor,Management Faculty,,6603446009,Management International Review,0938-8249,Top,,,2020-2021
2-s2.0-85054561673,10.5465/AMBPP.2018.97,,,Creative destruction within and across countries: Do culture and connectedness matter?,cp,Conference Paper,Uzuegbunam I.,60011132;121438303,"Ohio University;Wells Fargo Securities, LLC",Athens;,United States;Germany,3,"Uzuegbunam, Ikenna;Geringer, J. Michael;Oberst, Christian",14625575400;6603446009;57511299800,60011132;60011132;121438303,2018-01-01,2018,"78th Annual Meeting of the Academy of Management, AOM 2018",,21100880192,,Conference Proceeding,,,,,"This study investigates interrelationships between national culture and global connectedness in the creative destruction process using cultural dimensions of uncertainty avoidance and tightness, and global connectedness dimensions of depth and breadth. Analysis of agricultural biotech adoption in 58 nations provides robust support for the theoretical framework.",,1,1,publisherfree2read,Bronze,,undefined,,6603446009,J. Michael (Mike) Geringer,J.,Geringer,Tenure,Professor,Management Faculty,,6603446009,,,,,,2017-2018
